run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3260416,8499.01953125,1767094124.2966661
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3276800,8464.7099609375,1767094172.1859276
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3293184,8438.650390625,1767094218.1806111
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3309568,8478.9501953125,1767094265.7150583
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3325952,8484.7802734375,1767094311.8763905
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3342336,8441.599609375,1767094360.8303888
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3358720,8421.76953125,1767094407.316414
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3375104,8426.419921875,1767094455.4174502
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3391488,8328.099609375,1767094501.0217104
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3407872,8254.650390625,1767094548.626275
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3424256,8252.2802734375,1767094594.5716767
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3440640,8140.2099609375,1767094643.7071187
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3457024,8155.330078125,1767094691.8084273
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3473408,8113.580078125,1767094738.0715728
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3489792,8141.56005859375,1767094789.6476045
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3506176,8284.7802734375,1767094838.7310758
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3522560,8129.58984375,1767094886.2793033
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3538944,8165.14013671875,1767094938.8151426
